txn_id,card_id,device_id,ip,merchant_id,amount,ts,geo,label
TXN_000056,CARD_0076,DEV_0036,198.170.68.12,MERCH_0029,1438.48,2026-08-08 00:22:00,IN-Delhi,0
TXN_000057,CARD_0014,DEV_0052,10.29.188.213,MERCH_0021,315.4,2026-08-13 12:59:00,IN-Bangalore,0
TXN_000058,CARD_0020,DEV_0068,183.43.88.11,MERCH_0024,1020.8,2026-08-15 14:37:00,IN-Ahmedabad,0
TXN_000059,CARD_0154,DEV_0143,110.13.136.8,MERCH_0013,2880.1,2026-08-29 04:26:00,IN-Kolkata,0
TXN_000060,CARD_0053,DEV_0048,20.151.51.130,MERCH_0007,1482.03,2026-08-17 08:14:00,IN-Mumbai,0
TXN_000061,CARD_0193,DEV_0061,53.35.106.151,MERCH_0035,1120.39,2026-08-21 10:57:00,IN-Delhi,0
TXN_000062,CARD_0198,DEV_0131,130.108.79.169,MERCH_0031,495.58,2026-08-11 06:39:00,IN-Bangalore,0
TXN_000063,CARD_0025,DEV_0080,82.242.195.99,MERCH_0026,469.51,2026-08-11 03:07:00,IN-Chennai,0
TXN_000064,CARD_0144,DEV_0106,109.128.233.217,MERCH_0018,810.69,2026-08-25 20:32:00,IN-Mumbai,0
TXN_000065,CARD_0050,DEV_0086,97.78.83.47,MERCH_0016,277.64,2026-08-15 05:02:00,IN-Pune,0
TXN_000066,CARD_0125,DEV_0090,171.4.238.231,MERCH_0010,530.43,2026-08-03 07:01:00,IN-Chennai,0
TXN_000067,CARD_0184,DEV_0019,97.78.83.47,MERCH_0003,836.91,2026-08-24 02:54:00,IN-Mumbai,0
TXN_000068,CARD_0001,DEV_0158,100.191.129.192,MERCH_0039,674.6,2026-08-03 19:02:00,IN-Chennai,0
TXN_000069,CARD_0123,DEV_0135,171.157.23.57,MERCH_0017,721.04,2026-08-31 18:45:00,IN-Kolkata,0
TXN_000070,CARD_0073,DEV_0024,109.128.233.217,MERCH_0029,30701.64,2026-08-12 21:37:00,GB-London,1
TXN_000071,CARD_0061,DEV_0020,10.0.0.30,MERCH_0023,222.31,2026-08-08 12:54:00,IN-Kolkata,0
TXN_000072,CARD_0103,DEV_0020,139.18.35.61,MERCH_0002,110.37,2026-08-21 10:17:00,IN-Chennai,0
TXN_000073,CARD_0103,DEV_0021,203.74.70.10,MERCH_0031,1353.6,2026-08-07 08:14:00,IN-Pune,0
TXN_000074,CARD_0111,DEV_0054,90.188.58.196,MERCH_0036,696.04,2026-08-17 10:05:00,IN-Kolkata,0
TXN_000075,CARD_0069,DEV_0008,165.89.237.252,MERCH_0011,316.7,2026-08-29 02:43:00,IN-Hyderabad,0
TXN_000076,CARD_0080,DEV_0101,166.183.31.102,MERCH_0008,34419.16,2026-08-23 01:39:00,RU-Moscow,1
TXN_000077,CARD_0041,DEV_0084,135.19.172.225,MERCH_0024,127.24,2026-08-06 16:57:00,IN-Pune,0
TXN_000078,CARD_0189,DEV_0087,208.84.224.12,MERCH_0038,364.27,2026-08-28 22:16:00,IN-Kolkata,0
TXN_000079,CARD_0157,DEV_0115,221.203.187.24,MERCH_0031,244.84,2026-08-14 10:37:00,IN-Hyderabad,0
TXN_000080,CARD_0091,DEV_0021,114.120.185.26,MERCH_0039,1506.63,2026-08-15 09:52:00,IN-Delhi,0
TXN_000081,CARD_0063,DEV_0039,6.25.170.63,MERCH_0024,282.22,2026-08-28 18:19:00,IN-Pune,0
TXN_000082,CARD_0092,DEV_0033,205.117.180.57,MERCH_0005,494.63,2026-09-01 06:15:00,IN-Ahmedabad,0
TXN_000083,CARD_0110,DEV_0083,88.136.1.73,MERCH_0024,818.68,2026-08-07 06:00:00,IN-Pune,0
TXN_000084,CARD_0074,DEV_0097,171.4.238.231,MERCH_0010,290.21,2026-08-28 15:25:00,IN-Chennai,0
TXN_000085,CARD_0068,DEV_0076,137.122.158.248,MERCH_0030,327.12,2026-08-10 01:18:00,IN-Chennai,0
TXN_000086,CARD_0019,DEV_0117,171.4.238.231,MERCH_0006,653.99,2026-08-21 06:35:00,IN-Kolkata,0
TXN_000087,CARD_0077,DEV_0097,5.131.110.214,MERCH_CRYPTO,104161.34,2026-08-14 11:43:00,SG-Singapore,1
TXN_000088,CARD_0084,DEV_0051,6.25.170.63,MERCH_0030,290.9,2026-08-12 21:35:00,IN-Ahmedabad,0
TXN_000089,CARD_0045,DEV_0147,53.35.106.151,MERCH_0015,1201.57,2026-08-17 23:20:00,IN-Ahmedabad,0
TXN_000090,CARD_0096,DEV_0139,113.81.186.96,MERCH_0011,1530.99,2026-08-14 14:44:00,IN-Ahmedabad,0
TXN_000091,CARD_0196,DEV_0017,183.43.88.11,MERCH_0026,581.68,2026-08-11 11:43:00,IN-Chennai,0
TXN_000092,CARD_0127,DEV_0096,172.62.210.91,MERCH_0004,1572.25,2026-08-18 17:09:00,IN-Mumbai,0
TXN_000093,CARD_0153,DEV_0092,57.170.86.20,MERCH_0034,583.5,2026-08-14 06:08:00,IN-Mumbai,0
TXN_000094,CARD_0163,DEV_0156,112.9.235.236,MERCH_0002,969.97,2026-08-27 12:28:00,IN-Pune,0
TXN_000095,CARD_0165,DEV_0002,167.209.59.36,MERCH_0006,2350.8,2026-08-14 07:26:00,IN-Hyderabad,0
TXN_000096,CARD_0056,DEV_0095,130.108.79.169,MERCH_0025,964.84,2026-08-08 21:16:00,IN-Delhi,0
TXN_000097,CARD_0197,DEV_0087,137.122.158.248,MERCH_0029,1147.44,2026-08-09 17:17:00,IN-Delhi,0
TXN_000098,CARD_0052,DEV_0081,166.183.31.102,MERCH_0004,485.49,2026-08-16 15:29:00,IN-Ahmedabad,0
TXN_000099,CARD_0011,DEV_0042,70.226.217.125,MERCH_0015,506.72,2026-08-27 06:13:00,IN-Kolkata,0
TXN_000100,CARD_0044,DEV_0103,205.117.180.57,MERCH_0011,1671.56,2026-08-17 10:24:00,IN-Ahmedabad,0
TXN_000101,CARD_0163,DEV_0151,83.75.33.33,MERCH_0027,828.39,2026-08-14 11:51:00,IN-Pune,0
TXN_000102,CARD_0001,DEV_0147,119.144.195.129,MERCH_0006,3109.5,2026-08-23 03:09:00,IN-Chennai,0
TXN_000103,CARD_0137,DEV_0125,203.0.113.66,MERCH_0033,108.85,2026-08-17 15:52:00,IN-Delhi,0
TXN_000104,CARD_0163,DEV_0117,3.25.254.214,MERCH_0039,817.3,2026-08-14 19:26:00,IN-Pune,0
TXN_000105,CARD_0172,DEV_0061,92.191.220.38,MERCH_0019,979.37,2026-08-18 23:02:00,IN-Delhi,0
TXN_000106,CARD_0046,DEV_0098,205.117.180.57,MERCH_0027,574.54,2026-08-26 01:31:00,IN-Kolkata,0
TXN_000107,CARD_0124,DEV_0035,6.25.170.63,MERCH_0011,785.35,2026-08-03 03:08:00,IN-Bangalore,0
TXN_000108,CARD_0115,DEV_0126,113.81.186.96,MERCH_0026,2829.99,2026-08-16 03:46:00,IN-Ahmedabad,0
TXN_000109,CARD_0125,DEV_0070,171.157.23.57,MERCH_0014,1175.41,2026-08-12 07:07:00,IN-Chennai,0
TXN_000110,CARD_0073,DEV_0130,182.213.148.30,MERCH_0007,1531.19,2026-08-11 16:24:00,IN-Hyderabad,0
TXN_000111,CARD_0029,DEV_0010,2.104.154.243,MERCH_0028,208.76,2026-08-07 18:42:00,IN-Pune,0
TXN_000112,CARD_0055,DEV_0008,167.209.59.36,MERCH_0028,911.7,2026-08-27 20:04:00,IN-Pune,0
TXN_000113,CARD_0089,DEV_0150,5.131.110.214,MERCH_0022,77.82,2026-08-28 12:55:00,IN-Chennai,0
TXN_000114,CARD_0181,DEV_0052,112.9.235.236,MERCH_0003,329.62,2026-08-13 00:15:00,IN-Pune,0
TXN_000115,CARD_0089,DEV_0074,25.120.69.100,MERCH_0036,265.07,2026-08-05 08:00:00,IN-Chennai,0
TXN_000116,CARD_0131,DEV_0015,5.131.110.214,MERCH_0017,1282.09,2026-08-28 03:55:00,IN-Delhi,0
TXN_000117,CARD_0167,DEV_0100,19.226.176.253,MERCH_0031,4460.15,2026-08-26 10:59:00,IN-Ahmedabad,0
TXN_000118,CARD_0147,DEV_0023,80.166.43.227,MERCH_0025,543.31,2026-08-03 22:11:00,IN-Kolkata,0
TXN_000119,CARD_0191,DEV_0023,162.155.140.152,MERCH_0029,636.41,2026-08-15 16:48:00,IN-Chennai,0
TXN_000120,CARD_0170,DEV_0082,34.128.89.29,MERCH_0018,1794.75,2026-08-29 14:45:00,IN-Delhi,0
TXN_000121,CARD_0140,DEV_0004,165.89.237.252,MERCH_0007,2192.99,2026-08-06 17:33:00,IN-Chennai,0
TXN_000122,CARD_0040,DEV_0033,219.247.54.61,MERCH_0019,152.03,2026-09-01 11:11:00,IN-Pune,0
TXN_000123,CARD_0070,DEV_0042,141.166.195.153,MERCH_0003,85.04,2026-08-16 02:14:00,IN-Mumbai,0
TXN_000124,CARD_0160,DEV_0151,70.226.217.125,MERCH_0014,411.63,2026-08-21 20:11:00,IN-Chennai,0
TXN_000125,CARD_0174,DEV_0018,83.75.33.33,MERCH_0014,579.28,2026-09-01 03:07:00,IN-Kolkata,0
TXN_000126,CARD_0022,DEV_0097,10.29.188.213,MERCH_0008,496.8,2026-08-27 20:03:00,IN-Delhi,0
TXN_000127,CARD_0173,DEV_0089,175.165.161.39,MERCH_0013,815.48,2026-08-08 08:28:00,IN-Bangalore,0
TXN_000128,CARD_0191,DEV_0025,135.19.172.225,MERCH_0008,593.69,2026-08-13 18:14:00,IN-Chennai,0
TXN_000129,CARD_0031,DEV_0063,10.29.188.213,MERCH_0017,394.72,2026-08-15 00:28:00,IN-Bangalore,0
TXN_000130,CARD_0021,DEV_0006,76.167.212.45,MERCH_0019,1410.33,2026-08-05 03:28:00,IN-Delhi,0
TXN_000131,CARD_0132,DEV_0061,83.75.33.33,MERCH_0031,476.33,2026-08-23 21:52:00,IN-Delhi,0
TXN_000132,CARD_0028,DEV_0092,128.73.118.119,MERCH_0020,4713.53,2026-08-03 10:58:00,IN-Chennai,0
TXN_000133,CARD_0099,DEV_0120,149.250.76.115,MERCH_0004,725.25,2026-08-06 15:06:00,IN-Ahmedabad,0
TXN_000134,CARD_0150,DEV_0128,81.130.191.245,MERCH_0026,533.38,2026-08-20 13:33:00,IN-Kolkata,0
TXN_000135,CARD_0179,DEV_0079,80.166.43.227,MERCH_0005,852.34,2026-08-03 08:17:00,IN-Bangalore,0
TXN_000136,CARD_0052,DEV_0016,85.48.197.73,MERCH_0019,419.34,2026-08-25 10:13:00,IN-Ahmedabad,0
TXN_000137,CARD_0111,DEV_0116,131.99.178.90,MERCH_0039,214.92,2026-08-21 15:16:00,IN-Kolkata,0
TXN_000138,CARD_0014,DEV_0088,70.226.217.125,MERCH_0033,964.94,2026-08-02 13:09:00,IN-Bangalore,0
TXN_000139,CARD_0184,DEV_0030,85.75.1.71,MERCH_0001,1204.21,2026-08-15 13:45:00,IN-Kolkata,0
TXN_000140,CARD_0109,DEV_0014,179.71.240.115,MERCH_0031,657.1,2026-08-29 14:10:00,IN-Ahmedabad,0
TXN_000141,CARD_0145,DEV_0029,55.174.248.50,MERCH_0014,157.76,2026-08-25 08:06:00,IN-Delhi,0
TXN_000142,CARD_0130,DEV_0093,198.170.68.12,MERCH_0027,24598.15,2026-08-31 22:30:00,GB-London,1
TXN_000143,CARD_0038,DEV_0106,25.120.69.100,MERCH_0020,553.6,2026-08-30 21:18:00,IN-Chennai,0
TXN_000144,CARD_0019,DEV_0132,10.0.0.30,MERCH_0002,1416.87,2026-08-27 01:30:00,IN-Kolkata,0
TXN_000145,CARD_0102,DEV_0022,109.26.147.154,MERCH_0035,1227.43,2026-08-11 07:55:00,IN-Hyderabad,0
TXN_000146,CARD_0002,DEV_0118,112.205.40.102,MERCH_0023,298.13,2026-08-19 05:26:00,IN-Bangalore,0
TXN_000147,CARD_0126,DEV_0038,208.69.32.184,MERCH_0000,946.09,2026-08-23 14:28:00,IN-Chennai,0
TXN_000148,CARD_0104,DEV_0002,131.69.35.71,MERCH_0019,83594.18,2026-08-07 20:25:00,SG-Singapore,1
TXN_000149,CARD_0194,DEV_0125,198.51.100.23,MERCH_0003,706.57,2026-08-18 12:02:00,IN-Hyderabad,0
TXN_000150,CARD_0036,DEV_0117,44.235.185.23,MERCH_0005,183.91,2026-08-28 06:19:00,IN-Ahmedabad,0
TXN_000151,CARD_0024,DEV_0111,138.63.232.95,MERCH_0008,145.63,2026-08-03 11:55:00,IN-Hyderabad,0
TXN_000152,CARD_0074,DEV_0081,25.120.69.100,MERCH_0028,2145.34,2026-08-18 03:51:00,IN-Pune,0
TXN_000153,CARD_0059,DEV_0027,172.62.210.91,MERCH_0010,1062.21,2026-08-23 06:31:00,IN-Kolkata,0
TXN_000154,CARD_0119,DEV_0030,219.247.54.61,MERCH_0005,444.66,2026-08-27 00:03:00,IN-Pune,0
TXN_000155,CARD_0175,DEV_0023,203.0.113.66,MERCH_0015,1438.82,2026-08-05 00:57:00,IN-Mumbai,0
TXN_000156,CARD_0091,DEV_0115,20.151.51.130,MERCH_0035,197.24,2026-08-30 06:27:00,IN-Delhi,0
TXN_000157,CARD_0140,DEV_0015,128.73.118.119,MERCH_0014,1114.71,2026-08-11 11:15:00,IN-Chennai,0
TXN_000158,CARD_0050,DEV_0019,37.209.79.20,MERCH_0001,3328.59,2026-08-15 13:20:00,IN-Pune,0
TXN_000159,CARD_0050,DEV_0118,76.151.11.251,MERCH_0003,1145.4,2026-08-12 07:35:00,IN-Pune,0
TXN_000160,CARD_0146,DEV_0090,100.191.129.192,MERCH_0013,485.02,2026-08-14 12:29:00,IN-Chennai,0
TXN_000161,CARD_0047,DEV_0105,110.13.136.8,MERCH_0035,381.14,2026-08-12 04:46:00,IN-Chennai,0
TXN_000162,CARD_0015,DEV_0139,123.205.218.176,MERCH_0001,740.95,2026-08-15 01:34:00,IN-Hyderabad,0
TXN_000163,CARD_0182,DEV_0082,25.120.69.100,MERCH_0024,382.06,2026-08-07 17:10:00,IN-Bangalore,0
TXN_000164,CARD_0046,DEV_0071,210.102.70.224,MERCH_0007,22930.35,2026-08-05 07:43:00,GB-London,1
TXN_000165,CARD_0120,DEV_0068,96.52.63.73,MERCH_0034,110.03,2026-08-05 22:03:00,IN-Bangalore,0
TXN_000166,CARD_0188,DEV_0044,138.63.232.95,MERCH_0011,2249.64,2026-08-22 12:16:00,IN-Ahmedabad,0
TXN_000167,CARD_0151,DEV_0145,19.226.176.253,MERCH_0036,1079.79,2026-08-16 04:02:00,IN-Mumbai,0
TXN_000168,CARD_0144,DEV_0005,110.13.136.8,MERCH_0033,119.07,2026-08-10 02:17:00,IN-Mumbai,0
TXN_000169,CARD_0000,DEV_0082,149.250.76.115,MERCH_0003,88.63,2026-08-04 13:08:00,IN-Mumbai,0
TXN_000170,CARD_0037,DEV_0101,59.46.222.251,MERCH_0037,2069.76,2026-08-26 01:12:00,IN-Kolkata,0
TXN_000171,CARD_0086,DEV_0143,137.122.158.248,MERCH_0039,879.12,2026-08-26 06:53:00,IN-Pune,0
TXN_000172,CARD_0091,DEV_0075,3.25.254.214,MERCH_0008,328.36,2026-08-05 16:38:00,IN-Delhi,0
TXN_000173,CARD_0186,DEV_0145,205.117.180.57,MERCH_0007,105075.7,2026-08-06 10:14:00,AE-Dubai,1
TXN_000174,CARD_0154,DEV_0036,20.151.51.130,MERCH_0021,3289.71,2026-08-04 16:08:00,IN-Kolkata,0
TXN_000175,CARD_0019,DEV_0085,88.136.1.73,MERCH_0028,1626.18,2026-08-17 22:56:00,IN-Kolkata,0
TXN_000176,CARD_0067,DEV_0012,96.66.30.151,MERCH_0024,3245.5,2026-08-29 09:53:00,IN-Delhi,0
TXN_000177,CARD_0187,DEV_0139,59.46.222.251,MERCH_0024,653.8,2026-08-24 22:14:00,IN-Chennai,0
TXN_000178,CARD_0122,DEV_0018,114.120.185.26,MERCH_0002,939.27,2026-08-06 04:32:00,IN-Kolkata,0
TXN_000179,CARD_0005,DEV_0019,10.0.0.10,MERCH_0035,294.25,2026-08-27 17:32:00,IN-Mumbai,0
TXN_000180,CARD_0023,DEV_0042,5.123.73.75,MERCH_0038,1158.91,2026-08-04 13:40:00,IN-Kolkata,0
TXN_000181,CARD_0111,DEV_0141,167.209.59.36,MERCH_0034,2298.34,2026-08-27 21:19:00,IN-Kolkata,0
TXN_000182,CARD_0169,DEV_0125,167.77.253.247,MERCH_0009,460.73,2026-08-21 16:28:00,IN-Mumbai,0
TXN_000183,CARD_0092,DEV_0153,202.225.17.149,MERCH_0028,102389.73,2026-08-28 12:13:00,SG-Singapore,1
TXN_000184,CARD_0024,DEV_0121,92.191.220.38,MERCH_GIFTCARDS,117705.77,2026-08-24 17:20:00,SG-Singapore,1
TXN_000185,CARD_0078,DEV_0139,205.117.180.57,MERCH_0024,874.43,2026-08-11 01:32:00,IN-Bangalore,0
TXN_000186,CARD_0094,DEV_0067,99.41.191.58,MERCH_0014,189.62,2026-08-15 16:26:00,IN-Delhi,0
TXN_000187,CARD_0068,DEV_0088,167.110.220.116,MERCH_0034,882.54,2026-08-25 14:51:00,IN-Chennai,0
TXN_000188,CARD_0193,DEV_0137,182.213.148.30,MERCH_0030,461.69,2026-08-07 07:15:00,IN-Delhi,0
TXN_000189,CARD_0060,DEV_0146,19.226.176.253,MERCH_0039,835.12,2026-08-28 21:41:00,IN-Mumbai,0
TXN_000190,CARD_0030,DEV_0108,113.81.186.96,MERCH_0005,1147.14,2026-08-12 01:27:00,IN-Ahmedabad,0
TXN_000191,CARD_0111,DEV_0017,83.75.33.33,MERCH_0005,825.29,2026-08-03 22:50:00,IN-Kolkata,0
TXN_000192,CARD_0142,DEV_0003,112.205.40.102,MERCH_0039,960.02,2026-08-17 15:42:00,IN-Kolkata,0
TXN_000193,CARD_0133,DEV_0025,112.9.235.236,MERCH_0006,178.01,2026-08-27 09:01:00,IN-Delhi,0
TXN_000194,CARD_0199,DEV_0146,90.188.58.196,MERCH_0038,231.62,2026-08-19 11:26:00,IN-Kolkata,0
TXN_000195,CARD_0009,DEV_0009,5.123.73.75,MERCH_0025,1150.13,2026-08-14 03:46:00,IN-Pune,0
TXN_000196,CARD_0084,DEV_0125,198.51.100.23,MERCH_0006,435.92,2026-08-30 06:05:00,IN-Ahmedabad,0
TXN_000197,CARD_0058,DEV_0154,174.70.49.232,MERCH_0005,239.89,2026-08-12 07:56:00,IN-Ahmedabad,0
TXN_000198,CARD_0113,DEV_0040,218.232.46.170,MERCH_0004,1849.21,2026-08-13 23:11:00,IN-Ahmedabad,0
TXN_000199,CARD_0181,DEV_0044,118.32.56.215,MERCH_0012,725.55,2026-08-26 07:46:00,IN-Pune,0
TXN_000200,CARD_0051,DEV_0050,187.154.234.165,MERCH_0017,224.78,2026-08-21 03:25:00,IN-Chennai,0
TXN_000201,CARD_0118,DEV_0114,10.0.0.30,MERCH_0011,305.09,2026-08-03 13:53:00,IN-Mumbai,0
TXN_000202,CARD_0121,DEV_0023,142.193.233.239,MERCH_0018,1343.76,2026-08-16 13:54:00,IN-Mumbai,0
TXN_000203,CARD_0098,DEV_0057,25.120.69.100,MERCH_0013,377.48,2026-08-06 10:52:00,IN-Ahmedabad,0
TXN_000204,CARD_0166,DEV_0044,119.144.195.129,MERCH_0038,635.18,2026-08-31 14:01:00,IN-Kolkata,0
TXN_000205,CARD_0002,DEV_0096,109.26.147.154,MERCH_0022,975.05,2026-08-04 19:27:00,IN-Bangalore,0
TXN_000206,CARD_0064,DEV_0026,80.166.43.227,MERCH_0000,1526.3,2026-08-18 17:54:00,IN-Ahmedabad,0
TXN_000207,CARD_0169,DEV_0027,37.209.79.20,MERCH_0030,813.9,2026-08-15 11:10:00,IN-Mumbai,0
TXN_000208,CARD_0086,DEV_0076,109.128.233.217,MERCH_0012,244.26,2026-08-03 08:13:00,IN-Chennai,0
TXN_000209,CARD_0132,DEV_0081,80.192.168.209,MERCH_0008,2137.09,2026-08-29 21:55:00,IN-Delhi,0
TXN_000210,CARD_0006,DEV_0009,155.76.170.21,MERCH_0037,541.56,2026-08-19 01:03:00,IN-Chennai,0
TXN_000211,CARD_0146,DEV_0121,24.110.192.108,MERCH_0022,264.77,2026-08-16 21:06:00,IN-Chennai,0
TXN_000212,CARD_0076,DEV_0032,80.192.168.209,MERCH_0016,385.46,2026-08-02 13:38:00,IN-Delhi,0
TXN_000213,CARD_0143,DEV_0057,212.232.204.107,MERCH_0019,903.78,2026-08-24 03:58:00,IN-Hyderabad,0
